,product_uid,q_len,com_title,com_desc,com_attr
0,100001,2.0,1.0,1.0,1.0
1,100001,2.0,1.0,1.0,1.0
2,100002,1.0,1.0,1.0,1.0
3,100005,3.0,1.0,1.0,3.0
4,100005,2.0,2.0,2.0,2.0
5,100006,2.0,1.0,2.0,1.0
6,100006,2.0,1.0,1.0,1.0
7,100006,1.0,1.0,1.0,1.0
8,100007,2.0,2.0,2.0,2.0
9,100009,3.0,3.0,3.0,2.0
10,100010,2.0,1.0,2.0,2.0
11,100011,4.0,4.0,4.0,4.0
12,100011,2.0,2.0,2.0,2.0
13,100011,2.0,1.0,1.0,1.0
14,100012,5.0,3.0,2.0,4.0
15,100013,1.0,1.0,1.0,1.0
16,100016,2.0,2.0,2.0,2.0
17,100017,2.0,0.0,1.0,1.0
18,100017,4.0,0.0,0.0,1.0
19,100017,2.0,0.0,0.0,0.0
20,100017,2.0,0.0,2.0,2.0
21,100019,4.0,0.0,2.0,1.0
22,100019,4.0,2.0,2.0,3.0
23,100019,2.0,1.0,1.0,1.0
24,100019,2.0,1.0,1.0,1.0
25,100019,3.0,1.0,3.0,3.0
26,100019,3.0,2.0,2.0,3.0
27,100021,2.0,0.0,1.0,0.0
28,100021,2.0,0.0,1.0,1.0
29,100022,3.0,1.0,2.0,1.0
30,100022,6.0,4.0,5.0,6.0
31,100022,4.0,2.0,2.0,2.0
32,100023,4.0,1.0,1.0,1.0
33,100023,2.0,1.0,1.0,1.0
34,100023,2.0,1.0,1.0,1.0
35,100026,3.0,1.0,1.0,2.0
36,100026,3.0,1.0,1.0,1.0
37,100027,2.0,0.0,1.0,2.0
38,100028,4.0,2.0,2.0,2.0
39,100028,3.0,0.0,2.0,2.0
40,100028,1.0,0.0,0.0,0.0
41,100028,3.0,0.0,2.0,2.0
42,100028,2.0,0.0,2.0,2.0
43,100029,2.0,1.0,2.0,2.0
44,100030,3.0,2.0,0.0,0.0
45,100030,2.0,2.0,2.0,1.0
46,100030,2.0,1.0,1.0,1.0
47,100033,3.0,1.0,2.0,2.0
48,100033,3.0,3.0,3.0,3.0
49,100033,3.0,1.0,2.0,1.0
50,100033,4.0,1.0,4.0,2.0
51,100033,2.0,0.0,1.0,1.0
52,100033,3.0,0.0,1.0,2.0
53,100033,2.0,1.0,1.0,1.0
54,100033,2.0,1.0,2.0,2.0
55,100033,2.0,1.0,2.0,2.0
56,100034,2.0,0.0,0.0,1.0
57,100036,3.0,2.0,2.0,2.0
58,100036,5.0,4.0,4.0,4.0
59,100036,4.0,2.0,2.0,2.0
60,100036,2.0,1.0,1.0,1.0
61,100037,3.0,1.0,2.0,2.0
62,100038,5.0,1.0,3.0,3.0
63,100038,2.0,2.0,2.0,2.0
64,100039,2.0,1.0,1.0,0.0
